corp_code,corp_name,stock_code,modify_date
365590,HLB생명과학,067630,20230502
657756,무송지오씨,135160,20230502
418379,자연과환경,043910,20230502
475718,이엠앤아이,083470,20230502
309503,한국항공우주,047810,20230309
356927,에이디칩스,054630,20231030
1023318,센코,347000,20231030
1596665,한국제10호기업인수목적,409570,20230831
309460,HB인베스트먼트,440290,20240220
652007,메카로,241770,20230502
769158,케이엔제이,272110,20230502
808068,협진,138360,20230502
1108248,지노믹트리,228760,20230502
757816,모다,149940,20240220
1263527,카이노스메드,284620,20240220
102113,경인양행,012610,20230227
219574,코스맥스비티아이,044820,20230619
145598,이연제약,102460,20230802
454399,이상네트웍스,080010,20231006
542074,나노캠텍,091970,20231006
1476219,코스텍시스,355150,20231123
1043853,베노티앤알,206400,20230919
409672,티비에이치글로벌,084870,20230922
306870,손오공,066910,20240201
425254,나우코스,257990,20240201
664048,우리넷,115440,20240201
1652970,하나금융23호기업인수목적,427950,20240201
591441,어보브반도체,102120,20230626
1158632,진코스텍,250030,20240222
138057,써니전자,004770,20240222
1053540,퓨쳐켐,220100,20240222
605328,씨앤지하이테크,264660,20240226
109693,DL,000210,20230502
372253,연우,115960,20240306
598198,컴퍼니케이,307930,20240228
132725,성보화학,003080,20240222
537337,앤씨앤,092600,20240304
674498,골프존뉴딘홀딩스,121440,20240304
1797440,SK증권제11호스팩,472230,20240304
1406618,비올,335890,20240226
1586455,꿈비,407400,20240226
468374,원익QnC,074600,20240307
689418,지유온,111820,20240318
1760738,OCI,456040,20240110
260569,유니셈,036200,20240227
1669226,한화리츠,451800,20231127
159971,KC그린홀딩스,009440,20240308
1495180,파로스아이바이오,388870,20240309
1357446,퓨런티어,370090,20240318
444329,위메이드,112040,20240319
385415,일신바이오,068330,20240228
236863,희림,037440,20240228
1218299,에코아이,448280,20231121
923792,내츄럴엔도텍,168330,20231206
1062177,제놀루션,225220,20240226
1182578,DH오토리드,290120,20240229
1787072,유진스팩10호,468760,20240229
110431,JW신약,067290,20230512
1791561,하나31호스팩,469900,20240305
1800285,비엔케이제2호스팩,473370,20240305
1097906,KH 건설,226360,20240314
367710,동인기연,111380,20231121
479787,인텍플러스,064290,20240227
117744,메리츠화재해상보험,000060,20231129
104786,미래아이앤지,007120,20240228
611912,아모그린텍,125210,20240228
101433,경농,002100,20240226
876209,미래엔에듀파트너,208890,20240305
188973,화일약품,061250,20240320
273420,이스트소프트,047560,20240320
411808,제이오,418550,20231228
1717170,상상인제4호스팩,452670,20231228
1293953,싸이버원,356890,20240223
692254,아이패밀리에스씨,114840,20240223
351995,지에스이,053050,20240226
109824,대림통상,006570,20240228
1462605,지투파워,388050,20240226
957373,펨트론,168360,20240226
1513699,포바이포,389140,20230517
126201,삼성공조,006660,20230526
760999,상신전자,263810,20230526
271501,코아시아,045970,20230601
1806951,폰드그룹,472850,20240227
916516,흥국에프엔비,189980,20231024
111014,애큐온저축은행,007640,20230927
604028,피코그램,376180,20240226
159786,유니드,014830,20230317
406392,엔에스쇼핑,138250,20230419
1705625,하이제8호스팩,450050,20230622
1685251,컨텍,451760,20240226
638487,파수,150900,20240226
642897,브레인즈컴퍼니,099390,20230224
1632851,아이비케이에스제19호기업인수목적,426550,20240215
618401,크루셜텍,114120,20240215
1702017,유니드비티플러스,446070,20230703
533191,비보존 제약,082800,20230703
556907,에이스테크,088800,20230703
913689,세경하이테크,148150,20230703
1080687,아우딘퓨쳐스,227610,20230703
1237434,플리토,300080,20230901
266961,NAVER,035420,20240311
1188378,시스웍,269620,20240312
890388,지성이씨에스,138290,20240227
578538,티피씨글로벌,130740,20240227
164876,케이비증권,003450,20240216
610861,코스텍시스템,169670,20240226
1419384,하나금융16호기업인수목적,343510,20230302
1700921,삼성스팩8호,448740,20230302
146436,엔브이에이치코리아,067570,20230503
531865,유니테크노,241690,20230503
1762569,이수스페셜티케미컬,457190,20230704
1731453,DB금융스팩11호,456440,20230712
122694,범양건영,002410,20230328
141556,오로라,039830,20230328
544452,이리츠코크렙,088260,20230328
405719,아이크래프트,052460,20230328
1386916,SK아이이테크놀로지,361610,20230328
455875,와토스코리아,079000,20230328
602279,그린플러스,186230,20230328
624749,에스피시스템스,317830,20230328
1343665,RF머트리얼즈,327260,20230328
547583,하나금융지주,086790,20230922
261054,EG,037370,20231108
990563,피엔아이컴퍼니,242350,20230918
1514528,신한제7호기업인수목적,366330,20230918
1118139,타스컴,336040,20240315
149655,삼성물산,028260,20240318
1712485,코오롱모빌리티그룹,450140,20240318
160302,코스모화학,005420,20240227
1264872,이노뎁,303530,20240223
1042979,휴마시스,205470,20230320
154462,아모레퍼시픽그룹,002790,20230320
858364,BNK금융지주,138930,20230320
205003,좋은사람들,033340,20230817
1318261,더블유에스아이,299170,20230817
1437858,진시스템,363250,20240227
161693,한샘,009240,20231017
147994,새로닉스,042600,20231017
1524507,핀텔,291810,20231017
176835,농우바이오,054050,20240321
105280,현대지에프홀딩스,005440,20240321
230814,휴림에이텍,078590,20240321
983934,아이스크림에듀,289010,20240228
154426,아이에이치큐,003560,20231024
1242241,샌즈랩,411080,20231024
302078,엠피씨플러스,050540,20231024
1398151,밸로프,331520,20240227
336817,HLB제약,047920,20240313
124780,사조씨푸드,014710,20240321
139214,삼성화재해상보험,000810,20240321
166500,화천기계,010660,20240321
787376,대성에너지,117580,20240321
1011872,엔에스엠,238170,20240321
990262,피노텍,150440,20240321
426086,티케이지휴켐스,069260,20230726
1135941,원익IPS,240810,20240219
583026,율호,072770,20240227
173351,삼진,032750,20231213
1221947,비엔에프머티리얼즈,271780,20240308
296324,큐로홀딩스,051780,20240219
